"10 commandments","Exod.20.1-Exod.20.26"
"10 commandments","Gal.5.14"
"10 commandments","Rom.13.8-Rom.13.10"
"10 commandments","Luke.6.27-Luke.6.33"
"10 commandments","Exod.20.13"
"10 commandments","Jude.1.7"
"10 commandments","Rom.5.8"
"10 commandments","John.15.7"
"10 commandments","Deut.4.2"
"10 commandments","John.14.6"
"13th generation","2Tim.3.1-2Tim.3.5"
"2012","Matt.24.36"
"2nd marriage","1Cor.7.39"
"2nd marriage","Matt.19.9"
"2nd marriage","Matt.5.32"
"2nd marriage","Luke.16.18"
"2nd marriage","1Cor.7.1-1Cor.7.40"
"4th of july","1Pet.2.16"
"4th of july","2Cor.3.17"
"4th of july","Gal.5.1"
"4th of july","Titus.3.1-Titus.3.5"
"4th of july","Ps.33.12"
"4th of july","John.8.32"
"4th of july","2Chr.7.14"
"4th of july","Phil.3.20-Phil.3.21"
"4th of july","Rom.13.1-Rom.13.14"
"4th of july","1Pet.2.11"
"4th of july","Mark.13.1-Mark.13.37"
"4th of july","Ps.16.1-Ps.16.11"
"4th of july","Prov.21.1-Prov.21.31"
"666","Rev.13.18"
"666","Rev.13.1-Rev.13.18"
"666","Rev.13.16-Rev.13.18"
"666","Rev.13.17"
"666","Rev.12.1-Rev.12.17"
"666","Rev.14.1-Rev.14.20"
"666","2Chr.9.13"
"666","Rev.20.4"
"666","Rev.13.16"
"666","Rev.13.8"
"7 deadly sins","Prov.6.16-Prov.6.19"
"7 deadly sins","Matt.5.28"
"7 deadly sins","Prov.16.18"
"7 deadly sins","1John.2.16-1John.2.17"
"7 deadly sins","Exod.20.17"
"7 deadly sins","John.10.17-John.10.18"
"7 deadly sins","Gal.5.22"
"7 deadly sins","Prov.14.1-Prov.14.35"
"7 deadly sins","1Cor.13.13"
"7 deadly sins","Num.7.1-Num.7.89"
"911","Isa.30.25"
"a healthy marriage","Heb.13.4"
"a healthy marriage","Gen.2.24"
"a healthy marriage","Col.3.19"
"a healthy marriage","Col.3.18"
"a healthy marriage","Eph.5.25-Eph.5.29"
"a healthy marriage","Eph.5.22-Eph.5.23"
"a healthy marriage","1Cor.7.10-1Cor.7.11"
"a healthy marriage","Gen.3.16"
"a healthy marriage","1Pet.3.1-1Pet.3.6"
"a healthy marriage","Luke.16.18"
"a healthy marriage","Exod.20.14"
"a healthy marriage","1Cor.7.32-1Cor.7.34"
"a healthy marriage","Prov.31.10-Prov.31.31"
"a healthy marriage","Prov.5.15-Prov.5.19"
"a healthy marriage","Eph.5.21"
"a healthy marriage","Eph.5.31-Eph.5.32"
"a healthy marriage","1Cor.7.3"
"a healthy marriage","1Cor.13.1-1Cor.13.13"
"a healthy marriage","Rom.2.6-Rom.2.8"
"a husband","Eph.5.25-Eph.5.33"
"a husband","1Pet.3.7"
"a husband","1Cor.7.1-1Cor.7.7"
"a husband","1Tim.5.8"
"a husband","Col.3.19"
"a husband","1Pet.3.1-1Pet.3.22"
"a husband","1Cor.7.10-1Cor.7.11"
"a husband","Eph.5.25"
"a husband","Phil.4.13"
"a husband","Eph.5.28"
"a husband","Eph.5.23"
"a husband","Gen.2.24"
"a husband","Gen.3.16"
"a husband","1Cor.11.3"
"a husband","Eph.5.33"
"a husband","Heb.13.4"
"a man","Gen.1.27"
"a man","Lev.18.22"
"a man","Heb.13.4"
"a man","Heb.10.26"
"a man","Lev.20.13"
"a man","Gen.2.24"
"a man","Eph.5.25"
"a man","1Tim.5.8"
"a man","Jude.1.7"
"a man","Col.3.19"
"a man","1Cor.6.9"
"a man","Eph.5.22-Eph.5.33"
"a man working","1Tim.3.2"
"a man working","1Thess.4.11-1Thess.4.12"
"a man working","Prov.10.4-Prov.10.5"
"a man working","Prov.30.5-Prov.30.6"
"a man working","2Pet.1.21"
"a man working","2Kgs.2.23-2Kgs.2.24"
"a man working","1John.5.19"
"a man working","Prov.12.27"
"a man working","1Tim.5.8"
"a man working","Exod.20.8-Exod.20.11"
"a man working","Luke.4.4"
"a man working","Prov.22.29"
"a man working","Matt.5.18"
